"Reference","Qty","Value","Specification","Manufacturer MPN (Tested with)"
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R20,R21,R22,R23,R24,R25,R26","25","100kΩ","0.01%, 0805","Multicomp Pro MCTF0805TTY1003"
"R27","1","56kΩ","0.05%, 0805","Susumu RG2012N-563-W-T1"
"R28","1","27kΩ","0.05%, 0805","Susumu RG2012N-273-W-T1"
"C1","1","1nF","C0G/NP0, 6.3V+, ±5%, 0805","Murata GRM2165C1H102JA01D"
"C2","1","4.7nF","C0G/NP0, 6.3V+, ±5%, 0805","Murata GRM2165C1H472JA01D"
"C3","1","10nF","C0G/NP0, 6.3V+, ±5%, 0805","Murata GRM2195C1H103JA01D"
"C4","1","47nF","C0G/NP0, 6.3V+, ±5%, 0805","KEMET C0805X473J3GECTU"
"C5","1","100nF","C0G/NP0, 6.3V+, ±5%, 0805","Murata GRMJN65C1H104JE01J"
"C6","1","100µF","Polymer tantalum, 6.3V+, ±20%, 1206","KEMET T520A107M006ATE025"
"J1","1","DB25 Male","Gold-plated contacts, right-angle","Multicomp Pro 5504F1-25P-02-03-F1"
"J2","1","3.5mm Jack","Stereo, gold-plated, SMT","Switchcraft 35RASMT3BHSNTRX"
"J3","1","RCA Jack","Gold-plated","Switchcraft PJRAN1X1U02AUX"
"SW1","1","DIP Switch 9-pos","SPST, slide, 2.54mm pitch","C&K SDA09H0BD"
